main_category,sub_category,product_count,avg_rating,avg_discount_pct,avg_actual_price,avg_discount_price,total_sales,avg_predicted_sales,total_estimated_revenue,revenue_share_pct,category_rank
beauty & health,personal care appliances,364,3.99,22.3,1291.82,1001.83,1076126,2642.2,779209341.0,0.38,37
beauty & health,haircare,349,4.03,23.2,1244.89,951.12,1049697,2707.6,732102976.0,0.36,38
beauty & health,makeup,353,3.96,22.5,1250.46,979.39,963851,2531.3,704337958.0,0.35,39
toys & baby products,infant wear,328,3.97,21.9,1337.9,1041.4,761542,2126.7,610969179.0,0.3,40
toys & baby products,baby care,316,4.01,23.8,1539.07,1185.72,772362,2281.1,609949235.0,0.3,41
toys & baby products,toys,306,4.01,21.9,1565.74,1219.01,700518,2186.3,603546234.0,0.3,42
toys & baby products,educational games,304,3.95,21.1,1425.1,1130.78,707142,2130.5,543622343.0,0.27,43
home improvement,paint supplies,177,3.98,21.5,4944.37,3846.38,202586,1127.6,518219927.0,0.25,44
car & motorbike,bike accessories,218,3.99,22.4,3039.03,2350.4,306633,1349.8,489103920.0,0.24,45
home improvement,power tools,167,4.01,23.6,3965.1,2967.53,215864,1191.0,459816923.0,0.23,46
home improvement,electricals,134,4.02,22.5,5157.76,4022.67,169214,1248.1,454358772.0,0.22,47
car & motorbike,car accessories,217,3.97,22.5,2633.43,2038.36,300213,1277.6,449899085.0,0.22,48
home improvement,hand tools,161,3.98,23.1,4519.36,3506.93,189024,1089.8,446629465.0,0.22,49
car & motorbike,car care,241,4.0,22.8,2501.8,1928.2,328078,1306.6,444608823.0,0.22,50
grocery & gourmet foods,staples,367,4.0,22.7,694.37,537.41,986648,2569.3,421086696.0,0.21,51
grocery & gourmet foods,snacks,379,4.02,24.0,651.64,496.27,1069534,2615.7,398171025.0,0.2,52
grocery & gourmet foods,organic foods,364,4.03,24.3,665.35,498.46,1006611,2629.0,389843943.0,0.19,53
grocery & gourmet foods,beverages,298,4.01,24.3,607.97,465.35,887167,2771.4,304467146.0,0.15,54
music & instruments,accessories,116,4.07,22.1,7261.52,5550.44,73192,577.3,287824620.0,0.14,55
office products,stationery,212,4.01,23.6,2045.57,1532.25,253973,1147.3,263884858.0,0.13,56
office products,office electronics,198,4.01,23.4,1771.51,1365.72,260933,1261.1,240932834.0,0.12,57
office products,storage & organization,170,4.05,22.2,2184.79,1698.57,216729,1224.0,221875549.0,0.11,58
garden & outdoors,grills,144,3.95,23.0,3527.03,2692.1,110855,801.5,221442952.0,0.11,59
music & instruments,keyboards,95,3.98,23.7,7249.29,5553.11,57175,563.4,211930305.0,0.1,60
garden & outdoors,outdoor furniture,145,3.98,20.8,2881.66,2273.03,106701,760.9,181532651.0,0.09,61
garden & outdoors,gardening tools,111,4.03,22.5,3227.55,2511.05,93138,783.4,170063953.0,0.08,62
music & instruments,guitars,95,3.93,23.0,6198.87,4737.56,55641,603.0,140325660.0,0.07,63
pet supplies,pet grooming,181,4.05,23.6,1286.59,1000.7,204141,1071.8,138049726.0,0.07,64
books,children's books,210,3.97,22.8,644.04,496.02,318578,1453.9,128035636.0,0.06,65
books,fiction,206,3.97,22.3,572.95,441.32,344774,1531.6,117811850.0,0.06,66
books,academic,200,3.98,21.4,624.27,505.04,326593,1431.0,117730325.0,0.06,67
pet supplies,pet accessories,176,4.01,21.2,1214.19,972.79,179817,917.2,116525143.0,0.06,68
pet supplies,pet food,155,4.02,24.1,1231.76,930.69,154101,991.1,110053278.0,0.05,69
books,non-fiction,198,3.98,23.4,598.19,459.8,313386,1508.8,105448473.0,0.05,70
industrial & scientific,measuring tools,58,4.12,20.6,7502.52,5776.98,24750,442.9,104523330.0,0.05,71
industrial & scientific,lab equipment,69,4.07,22.9,7808.93,5641.36,29552,432.6,103230264.0,0.05,72
industrial & scientific,safety gear,57,4.05,22.4,7684.37,6015.77,24911,445.8,90392199.0,0.04,73
