product_id,product_description,main_category,sub_category,estimated_revenue,total_sales,cumulative_revenue,cumulative_revenue_pct,revenue_rank,abc_tier
P001707,Apple Deluxe Smartphones 154Pro,mobiles,smartphones,247549176.0,3591,17542262470.0,8.61,52,A - Top Revenue Drivers
P005009,Portronics Advanced Smartphones 768Max,mobiles,smartphones,244816044.0,3102,17787078514.0,8.73,53,A - Top Revenue Drivers
P005365,Bosch Premium Air Conditioners 927,appliances,air conditioners,243064521.0,4743,18030143035.0,8.85,54,A - Top Revenue Drivers
P016224,Redmi Compact Cases & Covers 251,mobiles,cases & covers,241243794.0,2802,18271386829.0,8.97,55,A - Top Revenue Drivers
P008160,OnePlus Everyday Cases & Covers 611S,mobiles,cases & covers,238370652.0,2444,18509757481.0,9.09,56,A - Top Revenue Drivers
P001065,HP Advanced Keyboards & Mice 570X,computers,keyboards & mice,237382402.0,2521,18747139883.0,9.21,57,A - Top Revenue Drivers
P001458,Samsung Pro Smartphones 507,mobiles,smartphones,237182484.0,2758,18984322367.0,9.32,58,A - Top Revenue Drivers
P018440,Portronics Pro Cases & Covers 292Pro,mobiles,cases & covers,237097280.0,2240,19221419647.0,9.44,59,A - Top Revenue Drivers
P015293,Portronics Smart Cases & Covers 846,mobiles,cases & covers,236398250.0,2950,19457817897.0,9.56,60,A - Top Revenue Drivers
P006589,OnePlus Deluxe Smartphones 650,mobiles,smartphones,233955963.0,3567,19691773860.0,9.67,61,A - Top Revenue Drivers
P014012,HP Wireless Laptops 758Max,computers,laptops,231368049.0,2937,19923141909.0,9.78,62,A - Top Revenue Drivers
P010064,Lenovo Everyday Laptops 224,computers,laptops,231337500.0,2500,20154479409.0,9.9,63,A - Top Revenue Drivers
P017860,OnePlus Everyday Mobile Accessories 406Max,mobiles,mobile accessories,226982655.0,5715,20381462064.0,10.01,64,A - Top Revenue Drivers
P005865,Redmi Eco-Friendly Power Banks 732X,mobiles,power banks,226489500.0,3532,20607951564.0,10.12,65,A - Top Revenue Drivers
P019106,Portronics Compact Smartphones 535S,mobiles,smartphones,226151455.0,2837,20834103019.0,10.23,66,A - Top Revenue Drivers
P002129,Apple Everyday Power Banks 564Pro,mobiles,power banks,225333900.0,3645,21059436919.0,10.34,67,A - Top Revenue Drivers
P002126,JBL Everyday Speakers 668,electronics,speakers,225177732.0,7202,21284614651.0,10.45,68,A - Top Revenue Drivers
P004247,Lenovo Classic Laptops 320Max,computers,laptops,223438608.0,3753,21508053259.0,10.56,69,A - Top Revenue Drivers
P019337,Ambrane Lightweight Mobile Accessories 348X,mobiles,mobile accessories,219768756.0,2658,21727822015.0,10.67,70,A - Top Revenue Drivers
P007648,Apple Portable Keyboards & Mice 639S,computers,keyboards & mice,216065648.0,2312,21943887663.0,10.78,71,A - Top Revenue Drivers
P019069,Realme Heavy-Duty Mobile Accessories 782Pro,mobiles,mobile accessories,214664497.0,2267,22158552160.0,10.88,72,A - Top Revenue Drivers
P017299,Realme Classic Cases & Covers 195S,mobiles,cases & covers,212927953.0,2191,22371480113.0,10.99,73,A - Top Revenue Drivers
P014853,Samsung Eco-Friendly Mobile Accessories 580X,mobiles,mobile accessories,212206920.0,3480,22583687033.0,11.09,74,A - Top Revenue Drivers
P003732,Redmi Smart Smartphones 528Max,mobiles,smartphones,210297500.0,3940,22793984533.0,11.19,75,A - Top Revenue Drivers
P016745,Realme Premium Mobile Accessories 543,mobiles,mobile accessories,210261393.0,5639,23004245926.0,11.3,76,A - Top Revenue Drivers
P004769,OnePlus Eco-Friendly Smartphones 552,mobiles,smartphones,209932550.0,2350,23214178476.0,11.4,77,A - Top Revenue Drivers
P007615,Apple Pro Power Banks 270S,mobiles,power banks,209025375.0,4045,23423203851.0,11.5,78,A - Top Revenue Drivers
P015002,Logitech Essential Laptops 672,computers,laptops,207953100.0,4275,23631156951.0,11.6,79,A - Top Revenue Drivers
P012847,HP Lightweight Monitors 122,computers,monitors,207795666.0,2418,23838952617.0,11.71,80,A - Top Revenue Drivers
P019481,Zebronics Everyday Laptops 326Max,computers,laptops,207027574.0,1774,24045980191.0,11.81,81,A - Top Revenue Drivers
P016771,OnePlus Premium Smartphones 481,mobiles,smartphones,206562722.0,5087,24252542913.0,11.91,82,A - Top Revenue Drivers
P018801,Portronics Smart Cases & Covers 709X,mobiles,cases & covers,204548920.0,2920,24457091833.0,12.01,83,A - Top Revenue Drivers
P013316,Logitech Lightweight Monitors 433Pro,computers,monitors,204046240.0,2720,24661138073.0,12.11,84,A - Top Revenue Drivers
P008618,Apple Everyday Cases & Covers 919X,mobiles,cases & covers,203110720.0,4520,24864248793.0,12.21,85,A - Top Revenue Drivers
P006337,OnePlus Premium Smartphones 558,mobiles,smartphones,202714715.0,5831,25066963508.0,12.31,86,A - Top Revenue Drivers
P003051,Zebronics Lightweight Laptops 518Max,computers,laptops,202014162.0,3213,25268977670.0,12.41,87,A - Top Revenue Drivers
P013215,Zebronics Everyday Monitors 621Pro,computers,monitors,201343160.0,1912,25470320830.0,12.51,88,A - Top Revenue Drivers
P006664,Redmi Heavy-Duty Cases & Covers 155,mobiles,cases & covers,200679600.0,3036,25671000430.0,12.61,89,A - Top Revenue Drivers
P011750,Samsung Ultra Cases & Covers 816Max,mobiles,cases & covers,199105530.0,3054,25870105960.0,12.7,90,A - Top Revenue Drivers
P012723,Realme Deluxe Mobile Accessories 338,mobiles,mobile accessories,196279335.0,2721,26066385295.0,12.8,91,A - Top Revenue Drivers
P001220,Realme Premium Mobile Accessories 119,mobiles,mobile accessories,196218018.0,3303,26262603313.0,12.9,92,A - Top Revenue Drivers
P001650,boAt Essential Smart Watches 146Pro,electronics,smart watches,194915680.0,7372,26457518993.0,12.99,93,A - Top Revenue Drivers
P008132,OnePlus Deluxe Cases & Covers 434X,mobiles,cases & covers,193904640.0,3156,26651423633.0,13.09,94,A - Top Revenue Drivers
P008570,Apple Advanced Power Banks 193Max,mobiles,power banks,191223573.0,7773,26842647206.0,13.18,95,A - Top Revenue Drivers
P008762,Samsung Essential Mobile Accessories 889S,mobiles,mobile accessories,190230390.0,4010,27032877596.0,13.28,96,A - Top Revenue Drivers
P012806,Bose Pro Speakers 140X,electronics,speakers,189936133.0,5143,27222813729.0,13.37,97,A - Top Revenue Drivers
P014773,Apple Everyday Cases & Covers 163,mobiles,cases & covers,189492625.0,2975,27412306354.0,13.46,98,A - Top Revenue Drivers
P000351,Redmi Advanced Mobile Accessories 627,mobiles,mobile accessories,189460546.0,1921,27601766900.0,13.55,99,A - Top Revenue Drivers
P011073,Samsung Premium Power Banks 971Pro,mobiles,power banks,189282910.0,8770,27791049810.0,13.65,100,A - Top Revenue Drivers
P012439,Logitech Essential Monitors 713Max,computers,monitors,188561730.0,3786,27979611540.0,13.74,101,A - Top Revenue Drivers
P006488,Zebronics Portable Televisions 203,electronics,televisions,188101240.0,5345,28167712780.0,13.83,102,A - Top Revenue Drivers
P008511,OnePlus Deluxe Power Banks 357,mobiles,power banks,187928900.0,2885,28355641680.0,13.92,103,A - Top Revenue Drivers
P006059,Portronics Deluxe Power Banks 113S,mobiles,power banks,187368552.0,2529,28543010232.0,14.02,104,A - Top Revenue Drivers
P011045,Apple Wireless Power Banks 131Pro,mobiles,power banks,186887540.0,2492,28729897772.0,14.11,105,A - Top Revenue Drivers
P008198,Samsung Portable Cases & Covers 201X,mobiles,cases & covers,186103676.0,1879,28916001448.0,14.2,106,A - Top Revenue Drivers
P006386,Portronics Compact Power Banks 896Pro,mobiles,power banks,185269736.0,3001,29101271184.0,14.29,107,A - Top Revenue Drivers
P009647,Realme Wireless Cases & Covers 700,mobiles,cases & covers,184406440.0,2582,29285677624.0,14.38,108,A - Top Revenue Drivers
P004009,Ambrane Ultra Mobile Accessories 115S,mobiles,mobile accessories,184226184.0,4338,29469903808.0,14.47,109,A - Top Revenue Drivers
P008076,Redmi Deluxe Smartphones 852Max,mobiles,smartphones,183489124.0,2852,29653392932.0,14.56,110,A - Top Revenue Drivers
P003304,Realme Heavy-Duty Power Banks 936Pro,mobiles,power banks,183070758.0,2678,29836463690.0,14.65,111,A - Top Revenue Drivers
P002706,Portronics Lightweight Smartphones 334X,mobiles,smartphones,182784750.0,3175,30019248440.0,14.74,112,A - Top Revenue Drivers
P008948,Portronics Eco-Friendly Mobile Accessories 630S,mobiles,mobile accessories,182732576.0,3952,30201981016.0,14.83,113,A - Top Revenue Drivers
P011524,Ambrane Essential Cases & Covers 418Pro,mobiles,cases & covers,182501592.0,2184,30384482608.0,14.92,114,A - Top Revenue Drivers
P005276,OnePlus Ultra Cases & Covers 288,mobiles,cases & covers,182349720.0,2421,30566832328.0,15.01,115,A - Top Revenue Drivers
P010319,OnePlus Deluxe Mobile Accessories 549,mobiles,mobile accessories,182101005.0,2001,30748933333.0,15.1,116,A - Top Revenue Drivers
P010933,Samsung Smart Refrigerators 961X,appliances,refrigerators,181648362.0,2562,30930581695.0,15.19,117,A - Top Revenue Drivers
P001555,Samsung Pro Smart Watches 336Max,electronics,smart watches,181029600.0,5800,31111611295.0,15.28,118,A - Top Revenue Drivers
P002534,Sony Deluxe Televisions 829S,electronics,televisions,180694345.0,7345,31292305640.0,15.37,119,A - Top Revenue Drivers
P005831,Redmi Premium Smartphones 523Pro,mobiles,smartphones,179646660.0,3114,31471952300.0,15.46,120,A - Top Revenue Drivers
P014930,Apple Essential Smartphones 103Max,mobiles,smartphones,177271446.0,6798,31649223746.0,15.54,121,A - Top Revenue Drivers
P015747,Apple Lightweight Smartphones 945Max,mobiles,smartphones,176152230.0,2790,31825375976.0,15.63,122,A - Top Revenue Drivers
P011570,Realme Heavy-Duty Power Banks 492,mobiles,power banks,175973308.0,3794,32001349284.0,15.72,123,A - Top Revenue Drivers
P005315,Samsung Smart Mobile Accessories 515S,mobiles,mobile accessories,175844053.0,3221,32177193337.0,15.8,124,A - Top Revenue Drivers
P002907,Voltas Everyday Washing Machines 854Max,appliances,washing machines,175687113.0,2751,32352880450.0,15.89,125,A - Top Revenue Drivers
P000479,Redmi Advanced Cases & Covers 340X,mobiles,cases & covers,174460916.0,2764,32527341366.0,15.97,126,A - Top Revenue Drivers
P011041,Apple Ultra Power Banks 964S,mobiles,power banks,171964055.0,8555,32699305421.0,16.06,127,A - Top Revenue Drivers
P011908,Apple Portable Laptops 524Max,computers,laptops,171721880.0,5095,32871027301.0,16.14,128,A - Top Revenue Drivers
P007862,OnePlus Everyday Smartphones 601,mobiles,smartphones,170794218.0,2778,33041821519.0,16.23,129,A - Top Revenue Drivers
P003830,Redmi Compact Mobile Accessories 501X,mobiles,mobile accessories,170771778.0,2523,33212593297.0,16.31,130,A - Top Revenue Drivers
P012607,OnePlus Eco-Friendly Power Banks 863Max,mobiles,power banks,170396996.0,1738,33382990293.0,16.39,131,A - Top Revenue Drivers
P002964,Portronics Ultra Smartphones 658Pro,mobiles,smartphones,170114360.0,5363,33553104653.0,16.48,132,A - Top Revenue Drivers
P010779,Logitech Everyday Storage Devices 337Max,computers,storage devices,169633520.0,5662,33722738173.0,16.56,133,A - Top Revenue Drivers
P003244,Realme Advanced Cases & Covers 373Max,mobiles,cases & covers,168232064.0,2464,33890970237.0,16.64,134,A - Top Revenue Drivers
P014311,HP Advanced Storage Devices 975Max,computers,storage devices,167740848.0,1452,34058711085.0,16.73,135,A - Top Revenue Drivers
P019592,HP Premium Storage Devices 819Max,computers,storage devices,166600000.0,1960,34225311085.0,16.81,136,A - Top Revenue Drivers
P003029,Logitech Pro Storage Devices 657Max,computers,storage devices,165853610.0,1517,34391164695.0,16.89,137,A - Top Revenue Drivers
P005709,Samsung Wireless Power Banks 721X,mobiles,power banks,164363500.0,3020,34555528195.0,16.97,138,A - Top Revenue Drivers
P007784,Apple Everyday Power Banks 667,mobiles,power banks,162841896.0,2121,34718370091.0,17.05,139,A - Top Revenue Drivers
P008843,HP Advanced Storage Devices 675X,computers,storage devices,162514464.0,1542,34880884555.0,17.13,140,A - Top Revenue Drivers
P005497,Dell Advanced Monitors 995S,computers,monitors,162102906.0,1766,35042987461.0,17.21,141,A - Top Revenue Drivers
P011149,Logitech Pro Laptops 429S,computers,laptops,161739149.0,1529,35204726610.0,17.29,142,A - Top Revenue Drivers
P001123,Redmi Advanced Power Banks 587Pro,mobiles,power banks,160766977.0,2533,35365493587.0,17.37,143,A - Top Revenue Drivers
P014975,Apple Essential Monitors 982S,computers,monitors,158167672.0,2249,35523661259.0,17.44,144,A - Top Revenue Drivers
P006826,Zebronics Eco-Friendly Monitors 977X,computers,monitors,158103508.0,2588,35681764767.0,17.52,145,A - Top Revenue Drivers
P003443,Ambrane Premium Power Banks 556Pro,mobiles,power banks,158078640.0,4645,35839843407.0,17.6,146,A - Top Revenue Drivers
P018373,Ambrane Classic Smartphones 315Pro,mobiles,smartphones,157921728.0,2568,35997765135.0,17.68,147,A - Top Revenue Drivers
P014570,OnePlus Heavy-Duty Power Banks 850Max,mobiles,power banks,157467192.0,7276,36155232327.0,17.76,148,A - Top Revenue Drivers
P010552,Samsung Essential Cases & Covers 352X,mobiles,cases & covers,156267450.0,5325,36311499777.0,17.83,149,A - Top Revenue Drivers
P007040,OnePlus Lightweight Mobile Accessories 647,mobiles,mobile accessories,154596220.0,3023,36466095997.0,17.91,150,A - Top Revenue Drivers
P012057,Lenovo Classic Laptops 231S,computers,laptops,154089030.0,1410,36620185027.0,17.98,151,A - Top Revenue Drivers
P003074,Apple Essential Cases & Covers 301,mobiles,cases & covers,153791469.0,1503,36773976496.0,18.06,152,A - Top Revenue Drivers
P009894,Redmi Essential Power Banks 349X,mobiles,power banks,153349392.0,3986,36927325888.0,18.13,153,A - Top Revenue Drivers
P004690,Realme Portable Power Banks 939Max,mobiles,power banks,152458155.0,2637,37079784043.0,18.21,154,A - Top Revenue Drivers
P004833,Apple Eco-Friendly Cases & Covers 800S,mobiles,cases & covers,151885633.0,4981,37231669676.0,18.28,155,A - Top Revenue Drivers
P010875,OnePlus Premium Mobile Accessories 426Pro,mobiles,mobile accessories,151470357.0,8273,37383140033.0,18.36,156,A - Top Revenue Drivers
P002001,Realme Smart Smartphones 298Pro,mobiles,smartphones,151399560.0,3182,37534539593.0,18.43,157,A - Top Revenue Drivers
P018211,LG Classic Washing Machines 260Pro,appliances,washing machines,150972520.0,2540,37685512113.0,18.51,158,A - Top Revenue Drivers
P019395,Apple Advanced Laptops 731S,computers,laptops,150923580.0,2180,37836435693.0,18.58,159,A - Top Revenue Drivers
P016532,HP Eco-Friendly Storage Devices 720Pro,computers,storage devices,149396462.0,1994,37985832155.0,18.65,160,A - Top Revenue Drivers
P003265,Portronics Premium Mobile Accessories 628Pro,mobiles,mobile accessories,149282373.0,1857,38135114528.0,18.73,161,A - Top Revenue Drivers
P008725,OnePlus Deluxe Cases & Covers 958X,mobiles,cases & covers,148976940.0,6780,38284091468.0,18.8,162,A - Top Revenue Drivers
P013143,Lenovo Heavy-Duty Storage Devices 813Max,computers,storage devices,148275897.0,1603,38432367365.0,18.87,163,A - Top Revenue Drivers
P011617,Ambrane Essential Power Banks 221Max,mobiles,power banks,148241808.0,2288,38580609173.0,18.95,164,A - Top Revenue Drivers
P014235,Lenovo Heavy-Duty Laptops 874Max,computers,laptops,147566811.0,1283,38728175984.0,19.02,165,A - Top Revenue Drivers
P012642,Portronics Essential Cases & Covers 866Max,mobiles,cases & covers,147419694.0,3141,38875595678.0,19.09,166,A - Top Revenue Drivers
P013372,Lloyd Everyday Microwaves 960Max,appliances,microwaves,147414254.0,2951,39023009932.0,19.16,167,A - Top Revenue Drivers
P007310,Ambrane Lightweight Cases & Covers 465Max,mobiles,cases & covers,147073720.0,7720,39170083652.0,19.24,168,A - Top Revenue Drivers
P017539,HP Deluxe Storage Devices 192X,computers,storage devices,146534157.0,2079,39316617809.0,19.31,169,A - Top Revenue Drivers
P012630,Realme Lightweight Smartphones 934X,mobiles,smartphones,146210279.0,6157,39462828088.0,19.38,170,A - Top Revenue Drivers
P019452,Realme Everyday Power Banks 452,mobiles,power banks,145999484.0,6533,39608827572.0,19.45,171,A - Top Revenue Drivers
P015941,Apple Premium Monitors 712S,computers,monitors,145914165.0,1335,39754741737.0,19.52,172,A - Top Revenue Drivers
P015310,Portronics Eco-Friendly Cases & Covers 240,mobiles,cases & covers,145872907.0,1961,39900614644.0,19.59,173,A - Top Revenue Drivers
P014312,Apple Wireless Monitors 540Max,computers,monitors,145363888.0,2096,40045978532.0,19.67,174,A - Top Revenue Drivers
P001477,OnePlus Ultra Cases & Covers 347X,mobiles,cases & covers,144950256.0,6534,40190928788.0,19.74,175,A - Top Revenue Drivers
P013308,Ambrane Heavy-Duty Smartphones 851S,mobiles,smartphones,144184754.0,7703,40335113542.0,19.81,176,A - Top Revenue Drivers
P016838,Realme Premium Power Banks 622X,mobiles,power banks,144086202.0,5022,40479199744.0,19.88,177,A - Top Revenue Drivers
P014333,Apple Premium Cases & Covers 745X,mobiles,cases & covers,144020318.0,2054,40623220062.0,19.95,178,A - Top Revenue Drivers
P014713,Redmi Classic Mobile Accessories 385X,mobiles,mobile accessories,143993667.0,2319,40767213729.0,20.02,179,A - Top Revenue Drivers
P002284,Zebronics Wireless Monitors 134S,computers,monitors,143934000.0,1750,40911147729.0,20.09,180,A - Top Revenue Drivers
P014639,Redmi Ultra Smartphones 679S,mobiles,smartphones,143379664.0,2309,41054527393.0,20.16,181,A - Top Revenue Drivers
P003188,Ambrane Everyday Power Banks 399X,mobiles,power banks,142997778.0,1666,41197525171.0,20.23,182,A - Top Revenue Drivers
P019275,Ambrane Ultra Cases & Covers 155,mobiles,cases & covers,142889272.0,4028,41340414443.0,20.3,183,A - Top Revenue Drivers
P017475,Logitech Heavy-Duty Monitors 840X,computers,monitors,142392268.0,1796,41482806711.0,20.37,184,A - Top Revenue Drivers
P017226,Ambrane Deluxe Power Banks 584X,mobiles,power banks,141071863.0,3901,41623878574.0,20.44,185,A - Top Revenue Drivers
P017427,Apple Premium Smartphones 662X,mobiles,smartphones,140559383.0,3247,41764437957.0,20.51,186,A - Top Revenue Drivers
P006343,Ambrane Classic Mobile Accessories 254X,mobiles,mobile accessories,140269005.0,1545,41904706962.0,20.58,187,A - Top Revenue Drivers
P008361,Apple Classic Smartphones 378X,mobiles,smartphones,139939020.0,9084,42044645982.0,20.65,188,A - Top Revenue Drivers
P017055,Logitech Deluxe Monitors 238,computers,monitors,138119201.0,1331,42182765183.0,20.72,189,A - Top Revenue Drivers
P004400,HP Heavy-Duty Monitors 606S,computers,monitors,137634120.0,1404,42320399303.0,20.78,190,A - Top Revenue Drivers
P014182,Apple Wireless Cases & Covers 352S,mobiles,cases & covers,137194200.0,4100,42457593503.0,20.85,191,A - Top Revenue Drivers
P011888,Apple Everyday Power Banks 759Max,mobiles,power banks,137147040.0,2385,42594740543.0,20.92,192,A - Top Revenue Drivers
P000430,LG Lightweight Washing Machines 932X,appliances,washing machines,136930200.0,3300,42731670743.0,20.98,193,A - Top Revenue Drivers
P013655,Samsung Everyday Smartphones 245S,mobiles,smartphones,136758885.0,2161,42868429628.0,21.05,194,A - Top Revenue Drivers
P006321,Apple Pro Smartphones 324X,mobiles,smartphones,136246959.0,1479,43004676587.0,21.12,195,A - Top Revenue Drivers
P008441,Samsung Eco-Friendly Air Conditioners 334X,appliances,air conditioners,136141831.0,2023,43140818418.0,21.19,196,A - Top Revenue Drivers
P011841,Zebronics Heavy-Duty Cameras 810Pro,electronics,cameras,134827152.0,4938,43275645570.0,21.25,197,A - Top Revenue Drivers
P002398,Samsung Premium Mobile Accessories 937,mobiles,mobile accessories,134807920.0,6760,43410453490.0,21.32,198,A - Top Revenue Drivers
P013807,HP Wireless Monitors 675Pro,computers,monitors,134689352.0,1942,43545142842.0,21.38,199,A - Top Revenue Drivers
P010497,Redmi Essential Power Banks 297X,mobiles,power banks,134601852.0,1394,43679744694.0,21.45,200,A - Top Revenue Drivers
P007148,Apple Pro Cases & Covers 269Pro,mobiles,cases & covers,134395520.0,6412,43814140214.0,21.52,201,A - Top Revenue Drivers
P015106,OnePlus Premium Power Banks 104S,mobiles,power banks,134226102.0,3814,43948366316.0,21.58,202,A - Top Revenue Drivers
P009686,Samsung Heavy-Duty Cameras 853Pro,electronics,cameras,133573908.0,3814,44081940224.0,21.65,203,A - Top Revenue Drivers
P002943,Logitech Everyday Keyboards & Mice 749S,computers,keyboards & mice,133476866.0,1151,44215417090.0,21.71,204,A - Top Revenue Drivers
P016733,Noise Ultra Speakers 456Pro,electronics,speakers,133312102.0,3521,44348729192.0,21.78,205,A - Top Revenue Drivers
P007956,Ambrane Classic Mobile Accessories 639Max,mobiles,mobile accessories,133235781.0,3391,44481964973.0,21.84,206,A - Top Revenue Drivers
P015760,HP Everyday Storage Devices 293S,computers,storage devices,133143891.0,2307,44615108864.0,21.91,207,A - Top Revenue Drivers
