product_id,product_description,main_category,sub_category,price_band,ratings,is_high_rated,discount_price,actual_price,discount_percentage,total_sales,predicted_sales,prediction_error,prediction_error_pct,estimated_revenue,description_word_count,model_used
P000042,Garnier Advanced Haircare 133X,beauty & health,haircare,Budget (<₹500),4.3,1,406.0,497.0,18.31,3587,3286.0,-301.0,-8.4,1456322.0,4,XGBoost
P000043,Cheston Premium Electricals 955S,home improvement,electricals,Premium (₹5k-20k),4.8,1,10864.0,11681.0,6.99,778,1157.0,379.0,48.7,8452192.0,4,XGBoost
P000044,Parker Smart Office Electronics 176Max,office products,office electronics,Mid (₹1.5k-5k),3.9,0,3744.0,4584.0,18.32,405,770.0,365.0,90.1,1516320.0,5,XGBoost
P000045,Fisher-Price Portable Toys 174X,toys & baby products,toys,Premium (₹5k-20k),5.0,1,5506.0,5940.0,7.31,3198,2436.0,-762.0,-23.8,17608188.0,4,XGBoost
P000046,Sonata Eco-Friendly Watch Accessories 767Pro,watches,watch accessories,Mid (₹1.5k-5k),4.3,1,3049.0,4502.0,32.27,1798,1941.0,143.0,8.0,5482102.0,5,XGBoost
P000047,Portronics Eco-Friendly Mobile Accessories 629Max,mobiles,mobile accessories,Luxury (₹20k+),4.4,1,43607.0,56488.0,22.8,2384,2730.0,346.0,14.5,103959088.0,5,XGBoost
P000048,HarperCollins Deluxe Non-Fiction 158,books,non-fiction,Budget (<₹500),3.6,0,272.0,462.0,41.13,1216,1303.0,87.0,7.2,330752.0,4,XGBoost
P000049,Prestige Classic Cookware 472,home & kitchen,cookware,Budget (<₹500),4.4,1,186.0,203.0,8.37,4695,4184.0,-511.0,-10.9,873270.0,4,XGBoost
P000050,Milton Wireless Furniture 397Pro,home & kitchen,furniture,Premium (₹5k-20k),3.5,0,6216.0,11083.0,43.91,937,1266.0,329.0,35.1,5824392.0,4,XGBoost
P000051,Noise Advanced Headphones 179S,electronics,headphones,Value (₹500-1.5k),3.1,0,752.0,930.0,19.14,1091,1369.0,278.0,25.5,820432.0,4,XGBoost
P000052,Mothercare Classic Baby Care 425Max,toys & baby products,baby care,Mid (₹1.5k-5k),5.0,1,2064.0,2362.0,12.62,3815,3152.0,-663.0,-17.4,7874160.0,5,XGBoost
P000053,Wonderchef Smart Cookware 371Max,home & kitchen,cookware,Value (₹500-1.5k),3.7,0,396.0,758.0,47.76,3745,2301.0,-1444.0,-38.6,1483020.0,4,XGBoost
P000054,Samsung Heavy-Duty Smart Watches 854Pro,electronics,smart watches,Premium (₹5k-20k),4.5,1,3906.0,7253.0,46.15,4219,5321.0,1102.0,26.1,16479414.0,5,XGBoost
P000055,24 Mantra Ultra Organic Foods 466,grocery & gourmet foods,organic foods,Value (₹500-1.5k),3.7,0,896.0,967.0,7.34,998,1091.0,93.0,9.3,894208.0,6,XGBoost
P000056,Sonata Heavy-Duty Analog Watches 680Pro,watches,analog watches,Value (₹500-1.5k),2.8,0,472.0,732.0,35.52,651,656.0,5.0,0.8,307272.0,5,XGBoost
P000057,Nike Advanced Gym Equipment 980,sports & fitness,gym equipment,Premium (₹5k-20k),5.0,1,8995.0,10499.0,14.33,5275,3323.0,-1952.0,-37.0,47448625.0,5,XGBoost
P000058,Luvlap Portable Baby Care 791X,toys & baby products,baby care,Value (₹500-1.5k),4.5,1,913.0,1075.0,15.07,2608,2492.0,-116.0,-4.4,2381104.0,5,XGBoost
P000059,Voltas Ultra Air Conditioners 333X,appliances,air conditioners,Luxury (₹20k+),3.8,0,31023.0,37273.0,16.77,548,793.0,245.0,44.7,17000604.0,5,XGBoost
P000060,Levis Pro Women'S Clothing 946Pro,fashion,women's clothing,Mid (₹1.5k-5k),3.4,0,3118.0,3672.0,15.09,1159,1073.0,-86.0,-7.4,3613762.0,5,XGBoost
P000061,BE SAVAGE Lightweight Cycling 463X,sports & fitness,cycling,Value (₹500-1.5k),4.3,1,470.0,604.0,22.19,2353,2740.0,387.0,16.4,1105910.0,5,XGBoost
P000062,Carrier Heavy-Duty Air Conditioners 771Pro,appliances,air conditioners,Luxury (₹20k+),4.5,1,45681.0,50867.0,10.2,1375,1363.0,-12.0,-0.9,62811375.0,5,XGBoost
P000063,Samsonite Portable Backpacks 212X,luggage & bags,backpacks,Mid (₹1.5k-5k),3.9,0,3650.0,4577.0,20.25,1875,1322.0,-553.0,-29.5,6843750.0,4,XGBoost
P000064,HP Ultra Monitors 575S,computers,monitors,Mid (₹1.5k-5k),4.3,1,1241.0,1790.0,30.67,3507,3312.0,-195.0,-5.6,4352187.0,4,XGBoost
P000065,American Tourister Advanced Wallets 930S,luggage & bags,wallets,Budget (<₹500),4.2,1,280.0,356.0,21.35,3324,2769.0,-555.0,-16.7,930720.0,5,XGBoost
P000066,Realme Essential Mobile Accessories 691S,mobiles,mobile accessories,Value (₹500-1.5k),3.4,0,626.0,745.0,15.97,2820,2018.0,-802.0,-28.4,1765320.0,5,XGBoost
P000067,24 Mantra Smart Organic Foods 429Max,grocery & gourmet foods,organic foods,Budget (<₹500),4.5,1,53.0,57.0,7.02,3989,4137.0,148.0,3.7,211417.0,6,XGBoost
P000068,Weber Smart Outdoor Furniture 218Max,garden & outdoors,outdoor furniture,Value (₹500-1.5k),4.0,1,788.0,1030.0,23.5,1125,819.0,-306.0,-27.2,886500.0,5,XGBoost
P000069,Bosch Eco-Friendly Microwaves 587S,appliances,microwaves,Mid (₹1.5k-5k),4.2,1,3961.0,4622.0,14.3,2547,2487.0,-60.0,-2.4,10088667.0,4,XGBoost
P000070,HRX Ultra Footwear 258,fashion,footwear,Premium (₹5k-20k),4.0,1,6566.0,8216.0,20.08,1923,1640.0,-283.0,-14.7,12626418.0,4,XGBoost
P000071,Luvlap Advanced Educational Games 785X,toys & baby products,educational games,Budget (<₹500),3.3,0,212.0,270.0,21.48,745,1024.0,279.0,37.4,157940.0,5,XGBoost
P000072,LG Portable Refrigerators 508Max,appliances,refrigerators,Luxury (₹20k+),3.6,0,16473.0,21284.0,22.6,1849,1061.0,-788.0,-42.6,30458577.0,4,XGBoost
P000073,Wonderchef Advanced Home Decor 343S,home & kitchen,home decor,Budget (<₹500),3.9,0,339.0,400.0,15.25,1863,2387.0,524.0,28.1,631557.0,5,XGBoost
P000074,Milton Smart Cookware 206,home & kitchen,cookware,Mid (₹1.5k-5k),4.7,1,2020.0,2522.0,19.9,6892,3833.0,-3059.0,-44.4,13921840.0,4,XGBoost
P000075,Local Press Pro Academic 541Pro,books,academic,Value (₹500-1.5k),4.8,1,1010.0,1055.0,4.27,1300,1614.0,314.0,24.2,1313000.0,5,XGBoost
P000076,Strauss Lightweight Yoga 407X,sports & fitness,yoga,Budget (<₹500),3.9,0,178.0,268.0,33.58,2318,2685.0,367.0,15.8,412604.0,4,XGBoost
P000077,AutoFurnish Compact Car Accessories 430S,car & motorbike,car accessories,Value (₹500-1.5k),4.0,1,432.0,678.0,36.28,1141,1268.0,127.0,11.1,492912.0,5,XGBoost
P000078,Portronics Portable Smartphones 265,mobiles,smartphones,Value (₹500-1.5k),3.7,0,634.0,855.0,25.85,5756,3678.0,-2078.0,-36.1,3649304.0,4,XGBoost
P000079,Penguin Heavy-Duty Academic 640Pro,books,academic,Value (₹500-1.5k),3.8,0,862.0,901.0,4.33,668,815.0,147.0,22.0,575816.0,4,XGBoost
P000080,Adidas Premium Sportswear 108Pro,sports & fitness,sportswear,Value (₹500-1.5k),3.6,0,664.0,1079.0,38.46,1689,1815.0,126.0,7.5,1121496.0,4,XGBoost
P000081,Philips Heavy-Duty Makeup 189S,beauty & health,makeup,Mid (₹1.5k-5k),3.5,0,3213.0,3882.0,17.23,899,835.0,-64.0,-7.1,2888487.0,4,XGBoost
P000082,Redwolf Heavy-Duty Watches 728X,fashion,watches,Value (₹500-1.5k),3.7,0,708.0,787.0,10.04,1144,1793.0,649.0,56.7,809952.0,4,XGBoost
P000083,Cello Classic Storage & Organization 618,office products,storage & organization,Mid (₹1.5k-5k),4.4,1,2513.0,3835.0,34.47,842,1065.0,223.0,26.5,2115946.0,6,XGBoost
P000084,Nirlon Portable Home Decor 699S,home & kitchen,home decor,Mid (₹1.5k-5k),4.7,1,2462.0,2979.0,17.35,4461,3075.0,-1386.0,-31.1,10982982.0,5,XGBoost
P000085,Prestige Classic Kitchen Storage 440S,home & kitchen,kitchen storage,Mid (₹1.5k-5k),3.7,0,954.0,1502.0,36.48,2083,2365.0,282.0,13.5,1987182.0,5,XGBoost
P000086,Adidas Eco-Friendly Yoga 861Pro,sports & fitness,yoga,Premium (₹5k-20k),4.3,1,4617.0,5474.0,15.66,2058,1738.0,-320.0,-15.5,9501786.0,4,XGBoost
P000087,24 Mantra Eco-Friendly Organic Foods 397,grocery & gourmet foods,organic foods,Budget (<₹500),4.0,1,24.0,54.0,55.56,9453,3645.0,-5808.0,-61.4,226872.0,6,XGBoost
P000088,iBell Heavy-Duty Power Tools 621Pro,home improvement,power tools,Mid (₹1.5k-5k),3.4,0,1236.0,2059.0,39.97,271,449.0,178.0,65.7,334956.0,5,XGBoost
P000089,Titan Smart Watch Accessories 373Max,watches,watch accessories,Mid (₹1.5k-5k),3.6,0,2489.0,2518.0,1.15,635,623.0,-12.0,-1.9,1580515.0,5,XGBoost
P000090,Samsung Pro Power Banks 616X,mobiles,power banks,Premium (₹5k-20k),4.2,1,13273.0,16431.0,19.22,1911,4271.0,2360.0,123.5,25364703.0,5,XGBoost
P000091,Michelin Advanced Bike Accessories 580Pro,car & motorbike,bike accessories,Budget (<₹500),4.2,1,101.0,147.0,31.29,6533,2927.0,-3606.0,-55.2,659833.0,5,XGBoost
P000092,Wildcraft Portable Backpacks 812S,luggage & bags,backpacks,Premium (₹5k-20k),3.7,0,4415.0,5652.0,21.89,932,782.0,-150.0,-16.1,4114780.0,4,XGBoost
P000093,Portronics Eco-Friendly Power Banks 908Pro,mobiles,power banks,Luxury (₹20k+),4.3,1,15370.0,20823.0,26.19,4971,3277.0,-1694.0,-34.1,76404270.0,5,XGBoost
P000094,Redwolf Premium Women'S Clothing 383X,fashion,women's clothing,Value (₹500-1.5k),3.6,0,591.0,885.0,33.22,1228,2472.0,1244.0,101.3,725748.0,5,XGBoost
P000095,Lenovo Wireless Monitors 281S,computers,monitors,Value (₹500-1.5k),4.4,1,874.0,992.0,11.9,6291,3084.0,-3207.0,-51.0,5498334.0,4,XGBoost
P000096,Cello Smart Cookware 245S,home & kitchen,cookware,Premium (₹5k-20k),4.8,1,14581.0,18929.0,22.97,3415,3098.0,-317.0,-9.3,49794115.0,4,XGBoost
P000097,Lenovo Heavy-Duty Storage Devices 479,computers,storage devices,Premium (₹5k-20k),3.3,0,5523.0,7629.0,27.61,549,889.0,340.0,61.9,3032127.0,5,XGBoost
P000098,Sonata Ultra Analog Watches 509Max,watches,analog watches,Mid (₹1.5k-5k),3.9,0,2523.0,3140.0,19.65,2440,1086.0,-1354.0,-55.5,6156120.0,5,XGBoost
P000099,HarperCollins Deluxe Academic 769Pro,books,academic,Budget (<₹500),3.3,0,222.0,302.0,26.49,1544,970.0,-574.0,-37.2,342768.0,4,XGBoost
P000100,Carrier Wireless Microwaves 252Max,appliances,microwaves,Mid (₹1.5k-5k),4.3,1,4200.0,4343.0,3.29,1298,1365.0,67.0,5.2,5451600.0,4,XGBoost
P000101,Whirlpool Classic Air Conditioners 832Pro,appliances,air conditioners,Mid (₹1.5k-5k),4.2,1,3856.0,4590.0,15.99,1769,2167.0,398.0,22.5,6821264.0,5,XGBoost
P000102,Dove Compact Skincare 873Pro,beauty & health,skincare,Budget (<₹500),4.0,1,455.0,461.0,1.3,781,1388.0,607.0,77.7,355355.0,4,XGBoost
P000103,Sonata Everyday Smart Watches 544S,watches,smart watches,Luxury (₹20k+),3.9,0,22532.0,25894.0,12.98,685,784.0,99.0,14.5,15434420.0,5,XGBoost
P000104,Logitech Eco-Friendly Laptops 488Pro,computers,laptops,Luxury (₹20k+),3.9,0,29880.0,43960.0,32.03,889,1206.0,317.0,35.7,26563320.0,4,XGBoost
P000105,Samsung Heavy-Duty Televisions 921Max,electronics,televisions,Mid (₹1.5k-5k),4.4,1,2766.0,3060.0,9.61,3146,3670.0,524.0,16.7,8701836.0,4,XGBoost
P000106,Sonata Lightweight Analog Watches 856Pro,watches,analog watches,Value (₹500-1.5k),4.2,1,791.0,1127.0,29.81,1904,1781.0,-123.0,-6.5,1506064.0,5,XGBoost
P000107,AutoFurnish Wireless Car Care 874S,car & motorbike,car care,Value (₹500-1.5k),3.7,0,656.0,681.0,3.67,448,571.0,123.0,27.5,293888.0,5,XGBoost
P000108,Nestle Wireless Snacks 290,grocery & gourmet foods,snacks,Value (₹500-1.5k),4.7,1,481.0,952.0,49.47,4399,4377.0,-22.0,-0.5,2115919.0,4,XGBoost
P000109,OnePlus Portable Smartphones 924Max,mobiles,smartphones,Mid (₹1.5k-5k),4.4,1,2636.0,3330.0,20.84,2715,5971.0,3256.0,119.9,7156740.0,4,XGBoost
P000110,Redwolf Heavy-Duty Watches 268S,fashion,watches,Mid (₹1.5k-5k),3.0,0,1668.0,2106.0,20.8,582,689.0,107.0,18.4,970776.0,4,XGBoost
P000111,Apple Wireless Cases & Covers 762Pro,mobiles,cases & covers,Premium (₹5k-20k),3.7,0,4820.0,6094.0,20.91,2701,2956.0,255.0,9.4,13018820.0,6,XGBoost
P000112,Tata Ultra Organic Foods 653,grocery & gourmet foods,organic foods,Mid (₹1.5k-5k),4.7,1,922.0,1809.0,49.03,4737,4272.0,-465.0,-9.8,4367514.0,5,XGBoost
P000113,3M Heavy-Duty Measuring Tools 740Pro,industrial & scientific,measuring tools,Premium (₹5k-20k),3.8,0,11288.0,11824.0,4.53,228,178.0,-50.0,-21.9,2573664.0,5,XGBoost
P000114,JBL Everyday Speakers 468Max,electronics,speakers,Mid (₹1.5k-5k),3.7,0,1541.0,2973.0,48.17,7899,3200.0,-4699.0,-59.5,12172359.0,4,XGBoost
P000115,24 Mantra Lightweight Snacks 829X,grocery & gourmet foods,snacks,Value (₹500-1.5k),4.6,1,660.0,913.0,27.71,3725,3365.0,-360.0,-9.7,2458500.0,5,XGBoost
P000116,Decathlon Wireless Sportswear 321Max,sports & fitness,sportswear,Value (₹500-1.5k),4.1,1,936.0,1417.0,33.94,1684,2318.0,634.0,37.6,1576224.0,4,XGBoost
P000117,Bosch Deluxe Power Tools 355Max,home improvement,power tools,Value (₹500-1.5k),3.7,0,526.0,846.0,37.83,2958,1245.0,-1713.0,-57.9,1555908.0,5,XGBoost
P000118,24 Mantra Wireless Staples 313,grocery & gourmet foods,staples,Budget (<₹500),3.5,0,55.0,66.0,16.67,1691,1753.0,62.0,3.7,93005.0,5,XGBoost
P000119,Baybee Everyday Baby Care 562,toys & baby products,baby care,Mid (₹1.5k-5k),4.4,1,3931.0,4464.0,11.94,1713,1585.0,-128.0,-7.5,6733803.0,5,XGBoost
P000120,Redmi Eco-Friendly Mobile Accessories 238X,mobiles,mobile accessories,Value (₹500-1.5k),3.8,0,406.0,529.0,23.25,3372,3908.0,536.0,15.9,1369032.0,5,XGBoost
P000121,Pigeon Deluxe Furniture 774,home & kitchen,furniture,Premium (₹5k-20k),4.0,1,4292.0,7298.0,41.19,3270,2176.0,-1094.0,-33.5,14034840.0,4,XGBoost
P000122,Skybags Deluxe Backpacks 817,luggage & bags,backpacks,Mid (₹1.5k-5k),3.5,0,1755.0,1911.0,8.16,435,650.0,215.0,49.4,763425.0,4,XGBoost
P000123,Rupa Publications Ultra Children'S Books 150Pro,books,children's books,Budget (<₹500),4.5,1,187.0,338.0,44.67,2578,2828.0,250.0,9.7,482086.0,6,XGBoost
P000124,Samsung Everyday Mobile Accessories 645Pro,mobiles,mobile accessories,Mid (₹1.5k-5k),4.6,1,998.0,1555.0,35.82,6783,7545.0,762.0,11.2,6769434.0,5,XGBoost
P000125,boAt Deluxe Speakers 962,electronics,speakers,Value (₹500-1.5k),3.7,0,810.0,1115.0,27.35,1422,2811.0,1389.0,97.7,1151820.0,4,XGBoost
P000126,Lenovo Everyday Monitors 828Pro,computers,monitors,Mid (₹1.5k-5k),3.4,0,2120.0,3221.0,34.18,1814,1234.0,-580.0,-32.0,3845680.0,4,XGBoost
P000127,JBL Heavy-Duty Smart Watches 578X,electronics,smart watches,Value (₹500-1.5k),3.7,0,1270.0,1365.0,6.96,3212,2568.0,-644.0,-20.0,4079240.0,5,XGBoost
P000128,Sonata Essential Analog Watches 614S,watches,analog watches,Luxury (₹20k+),2.3,0,15328.0,38854.0,60.55,105,244.0,139.0,132.4,1609440.0,5,XGBoost
P000129,Mamaearth Ultra Makeup 633,beauty & health,makeup,Value (₹500-1.5k),4.4,1,635.0,731.0,13.13,5749,3817.0,-1932.0,-33.6,3650615.0,4,XGBoost
P000130,Parker Smart Storage & Organization 706,office products,storage & organization,Value (₹500-1.5k),3.8,0,1138.0,1316.0,13.53,565,613.0,48.0,8.5,642970.0,6,XGBoost
P000131,Levis Heavy-Duty Women'S Clothing 719S,fashion,women's clothing,Mid (₹1.5k-5k),3.8,0,4115.0,4998.0,17.67,1706,1565.0,-141.0,-8.3,7020190.0,5,XGBoost
P000132,Redwolf Compact Women'S Clothing 685Max,fashion,women's clothing,Value (₹500-1.5k),4.9,1,710.0,1069.0,33.58,7735,6314.0,-1421.0,-18.4,5491850.0,5,XGBoost
P000133,Spidy Moto Classic Bike Accessories 187Max,car & motorbike,bike accessories,Value (₹500-1.5k),3.6,0,500.0,625.0,20.0,999,771.0,-228.0,-22.8,499500.0,6,XGBoost
P000134,Funskool Pro Baby Care 114X,toys & baby products,baby care,Premium (₹5k-20k),3.2,0,4801.0,5549.0,13.48,662,533.0,-129.0,-19.5,3178262.0,5,XGBoost
P000135,Garnier Eco-Friendly Makeup 975Pro,beauty & health,makeup,Budget (<₹500),4.3,1,118.0,165.0,28.48,4673,4820.0,147.0,3.1,551414.0,4,XGBoost
P000136,Parker Smart Storage & Organization 711S,office products,storage & organization,Value (₹500-1.5k),4.1,1,567.0,824.0,31.19,968,1223.0,255.0,26.3,548856.0,6,XGBoost
P000137,Tata Premium Beverages 607S,grocery & gourmet foods,beverages,Budget (<₹500),4.1,1,290.0,307.0,5.54,3337,2246.0,-1091.0,-32.7,967730.0,4,XGBoost
P000138,Spidy Moto Lightweight Car Care 579Max,car & motorbike,car care,Mid (₹1.5k-5k),4.2,1,1427.0,1907.0,25.17,1576,1302.0,-274.0,-17.4,2248952.0,6,XGBoost
P000139,LG Classic Air Conditioners 643X,appliances,air conditioners,Premium (₹5k-20k),2.8,0,5848.0,7496.0,21.99,564,752.0,188.0,33.3,3298272.0,5,XGBoost
P000140,Fossil Classic Men'S Clothing 935S,fashion,men's clothing,Mid (₹1.5k-5k),4.4,1,2843.0,3671.0,22.56,6715,3317.0,-3398.0,-50.6,19090745.0,5,XGBoost
P000141,Ptron Premium Televisions 692S,electronics,televisions,Premium (₹5k-20k),4.1,1,12363.0,15992.0,22.69,2064,1610.0,-454.0,-22.0,25517232.0,4,XGBoost
P000142,Bosch Wireless Microwaves 416Max,appliances,microwaves,Premium (₹5k-20k),4.0,1,8044.0,12464.0,35.46,2657,1699.0,-958.0,-36.1,21372908.0,4,XGBoost
P000143,Drools Advanced Pet Accessories 249,pet supplies,pet accessories,Mid (₹1.5k-5k),4.2,1,3918.0,4402.0,11.0,1142,614.0,-528.0,-46.2,4474356.0,5,XGBoost
P000144,Funskool Advanced Toys 267Pro,toys & baby products,toys,Budget (<₹500),3.4,0,107.0,131.0,18.32,1203,1532.0,329.0,27.3,128721.0,4,XGBoost
P000145,Samsung Heavy-Duty Smartphones 688,mobiles,smartphones,Luxury (₹20k+),4.7,1,91950.0,119831.0,23.27,3515,3819.0,304.0,8.6,323204250.0,4,XGBoost
