Unnamed: 0,name,main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,image,link
18,Redmi Lightweight Mobile Accessories 385,mobiles,mobile accessories,4.6,8686,₹265,₹339,https://example-cdn.local/img/554073.jpg,https://example.local/product/543774
19,Apple Lightweight Laptops 195X,computers,laptops,4.1,4626,₹923,"₹1,751",https://example-cdn.local/img/820626.jpg,https://example.local/product/912386
20,Sonata Lightweight Analog Watches 516Max,watches,analog watches,4.1,995,"₹11,549","₹14,894",https://example-cdn.local/img/446580.jpg,https://example.local/product/490256
21,Milton Eco-Friendly Home Decor 703,home & kitchen,home decor,3.4,2749,₹457,₹490,https://example-cdn.local/img/964442.jpg,https://example.local/product/863703
22,Rupa Publications Heavy-Duty Fiction 218,books,fiction,4.4,1970,₹413,₹491,https://example-cdn.local/img/652941.jpg,https://example.local/product/570904
23,OnePlus Deluxe Cases & Covers 145X,mobiles,cases & covers,3.4,1337,"₹82,601","₹93,783",https://example-cdn.local/img/528335.jpg,https://example.local/product/519386
24,Decathlon Everyday Cycling 691Max,sports & fitness,cycling,3.1,668,"₹3,579","₹6,631",https://example-cdn.local/img/476747.jpg,https://example.local/product/764407
25,iBell Portable Paint Supplies 215Max,home improvement,paint supplies,4.5,1247,₹624,₹711,https://example-cdn.local/img/651407.jpg,https://example.local/product/531432
26,Fabindia Premium Footwear 716S,fashion,footwear,2.9,1169,"₹2,568","₹3,069",https://example-cdn.local/img/111072.jpg,https://example.local/product/971478
27,Pigeon Eco-Friendly Home Decor 121Max,home & kitchen,home decor,4.3,4594,₹511,₹700,https://example-cdn.local/img/877098.jpg,https://example.local/product/126099
28,LG Lightweight Refrigerators 644,appliances,refrigerators,3.9,795,"₹29,488","₹40,289",https://example-cdn.local/img/821332.jpg,https://example.local/product/702216
29,Wildcraft Essential Wallets 177,luggage & bags,wallets,3.9,860,"₹2,923","₹4,494",https://example-cdn.local/img/114174.jpg,https://example.local/product/343682
30,Tata Portable Staples 182Max,grocery & gourmet foods,staples,3.0,690,₹422,₹543,https://example-cdn.local/img/265179.jpg,https://example.local/product/329033
31,Mothercare Pro Infant Wear 515S,toys & baby products,infant wear,3.8,3224,₹86,₹180,https://example-cdn.local/img/976064.jpg,https://example.local/product/220685
32,Whirlpool Essential Air Conditioners 385,appliances,air conditioners,3.1,581,"₹9,694","₹12,545",https://example-cdn.local/img/132453.jpg,https://example.local/product/185717
33,Strauss Essential Cycling 573Pro,sports & fitness,cycling,4.6,1982,"₹3,713","₹4,328",https://example-cdn.local/img/215440.jpg,https://example.local/product/928950
34,Philips Deluxe Personal Care Appliances 400S,beauty & health,personal care appliances,4.2,3589,"₹1,792","₹2,280",https://example-cdn.local/img/255694.jpg,https://example.local/product/493005
35,Classmate Wireless Storage & Organization 481Pro,office products,storage & organization,3.7,1182,₹186,₹355,https://example-cdn.local/img/933083.jpg,https://example.local/product/676799
36,boAt Lightweight Televisions 990Max,electronics,televisions,3.5,2395,"₹4,114","₹5,305",https://example-cdn.local/img/227436.jpg,https://example.local/product/851910
37,Prestige Everyday Kitchen Storage 995S,home & kitchen,kitchen storage,3.1,464,"₹1,322","₹1,649",https://example-cdn.local/img/856520.jpg,https://example.local/product/859228
38,Rupa Publications Compact Children'S Books 533S,books,children's books,4.4,3055,₹538,₹742,https://example-cdn.local/img/791764.jpg,https://example.local/product/374482
39,Parker Pro Office Electronics 332X,office products,office electronics,3.6,639,₹270,₹300,https://example-cdn.local/img/228165.jpg,https://example.local/product/638628
40,Noise Everyday Cameras 747Pro,electronics,cameras,3.9,1458,"₹10,021","₹11,820",https://example-cdn.local/img/966889.jpg,https://example.local/product/556404
41,Nirlon Portable Furniture 104X,home & kitchen,furniture,5.0,3332,"₹1,634","₹2,533",https://example-cdn.local/img/887503.jpg,https://example.local/product/986985
42,Garnier Advanced Haircare 133X,beauty & health,haircare,4.3,3587,₹406,₹497,https://example-cdn.local/img/435431.jpg,https://example.local/product/786421
43,Cheston Premium Electricals 955S,home improvement,electricals,4.8,778,"₹10,864","₹11,681",https://example-cdn.local/img/329184.jpg,https://example.local/product/313892
44,Parker Smart Office Electronics 176Max,office products,office electronics,3.9,405,"₹3,744","₹4,584",https://example-cdn.local/img/407733.jpg,https://example.local/product/580751
45,Fisher-Price Portable Toys 174X,toys & baby products,toys,5.0,3198,"₹5,506","₹5,940",https://example-cdn.local/img/504738.jpg,https://example.local/product/478343
46,Sonata Eco-Friendly Watch Accessories 767Pro,watches,watch accessories,4.3,1798,"₹3,049","₹4,502",https://example-cdn.local/img/631669.jpg,https://example.local/product/369725
47,Portronics Eco-Friendly Mobile Accessories 629Max,mobiles,mobile accessories,4.4,2384,"₹43,607","₹56,488",https://example-cdn.local/img/387504.jpg,https://example.local/product/191704
48,HarperCollins Deluxe Non-Fiction 158,books,non-fiction,3.6,1216,₹272,₹462,https://example-cdn.local/img/509605.jpg,https://example.local/product/866786
49,Prestige Classic Cookware 472,home & kitchen,cookware,4.4,4695,₹186,₹203,https://example-cdn.local/img/126323.jpg,https://example.local/product/399784
50,Milton Wireless Furniture 397Pro,home & kitchen,furniture,3.5,937,"₹6,216","₹11,083",https://example-cdn.local/img/937345.jpg,https://example.local/product/272221
51,Noise Advanced Headphones 179S,electronics,headphones,3.1,1091,₹752,₹930,https://example-cdn.local/img/352599.jpg,https://example.local/product/868031
52,Mothercare Classic Baby Care 425Max,toys & baby products,baby care,5.0,3815,"₹2,064","₹2,362",https://example-cdn.local/img/831842.jpg,https://example.local/product/366798
53,Wonderchef Smart Cookware 371Max,home & kitchen,cookware,3.7,3745,₹396,₹758,https://example-cdn.local/img/312652.jpg,https://example.local/product/213423
54,Ambrane Portable Power Banks 214S,mobiles,power banks,5.0,10608,₹656,₹843,https://example-cdn.local/img/907571.jpg,https://example.local/product/264117
55,Samsung Heavy-Duty Smart Watches 854Pro,electronics,smart watches,4.5,4219,"₹3,906","₹7,253",https://example-cdn.local/img/776495.jpg,https://example.local/product/709858
56,24 Mantra Ultra Organic Foods 466,grocery & gourmet foods,organic foods,3.7,998,₹896,₹967,https://example-cdn.local/img/184664.jpg,https://example.local/product/521917
57,Sonata Heavy-Duty Analog Watches 680Pro,watches,analog watches,2.8,651,₹472,₹732,https://example-cdn.local/img/580547.jpg,https://example.local/product/804663
58,Nike Advanced Gym Equipment 980,sports & fitness,gym equipment,5.0,5275,"₹8,995","₹10,499",https://example-cdn.local/img/439429.jpg,https://example.local/product/663992
59,Luvlap Portable Baby Care 791X,toys & baby products,baby care,4.5,2608,₹913,"₹1,075",https://example-cdn.local/img/121317.jpg,https://example.local/product/959407
60,Voltas Ultra Air Conditioners 333X,appliances,air conditioners,3.8,548,"₹31,023","₹37,273",https://example-cdn.local/img/140655.jpg,https://example.local/product/310628
61,Levis Pro Women'S Clothing 946Pro,fashion,women's clothing,3.4,1159,"₹3,118","₹3,672",https://example-cdn.local/img/768665.jpg,https://example.local/product/655079
62,BE SAVAGE Lightweight Cycling 463X,sports & fitness,cycling,4.3,2353,₹470,₹604,https://example-cdn.local/img/784012.jpg,https://example.local/product/754061
63,Carrier Heavy-Duty Air Conditioners 771Pro,appliances,air conditioners,4.5,1375,"₹45,681","₹50,867",https://example-cdn.local/img/366528.jpg,https://example.local/product/245128
64,Samsonite Portable Backpacks 212X,luggage & bags,backpacks,3.9,1875,"₹3,650","₹4,577",https://example-cdn.local/img/957023.jpg,https://example.local/product/435336
65,HP Ultra Monitors 575S,computers,monitors,4.3,3507,"₹1,241","₹1,790",https://example-cdn.local/img/855289.jpg,https://example.local/product/237589
66,American Tourister Advanced Wallets 930S,luggage & bags,wallets,4.2,3324,₹280,₹356,https://example-cdn.local/img/494190.jpg,https://example.local/product/457768
67,Realme Essential Mobile Accessories 691S,mobiles,mobile accessories,3.4,2820,₹626,₹745,https://example-cdn.local/img/600213.jpg,https://example.local/product/259511
68,24 Mantra Smart Organic Foods 429Max,grocery & gourmet foods,organic foods,4.5,3989,₹53,₹57,https://example-cdn.local/img/764658.jpg,https://example.local/product/630610
69,Weber Smart Outdoor Furniture 218Max,garden & outdoors,outdoor furniture,4.0,1125,₹788,"₹1,030",https://example-cdn.local/img/945757.jpg,https://example.local/product/874566
70,Bosch Eco-Friendly Microwaves 587S,appliances,microwaves,4.2,2547,"₹3,961","₹4,622",https://example-cdn.local/img/731251.jpg,https://example.local/product/376941
71,HRX Ultra Footwear 258,fashion,footwear,4.0,1923,"₹6,566","₹8,216",https://example-cdn.local/img/734189.jpg,https://example.local/product/540841
72,Luvlap Advanced Educational Games 785X,toys & baby products,educational games,3.3,745,₹212,₹270,https://example-cdn.local/img/532546.jpg,https://example.local/product/670415
73,LG Portable Refrigerators 508Max,appliances,refrigerators,3.6,1849,"₹16,473","₹21,284",https://example-cdn.local/img/644420.jpg,https://example.local/product/204133
74,Wonderchef Advanced Home Decor 343S,home & kitchen,home decor,3.9,1863,₹339,₹400,https://example-cdn.local/img/896363.jpg,https://example.local/product/618070
75,Milton Smart Cookware 206,home & kitchen,cookware,4.7,6892,"₹2,020","₹2,522",https://example-cdn.local/img/288983.jpg,https://example.local/product/146277
76,Local Press Pro Academic 541Pro,books,academic,4.8,1300,"₹1,010","₹1,055",https://example-cdn.local/img/903727.jpg,https://example.local/product/393303
77,Strauss Lightweight Yoga 407X,sports & fitness,yoga,3.9,2318,₹178,₹268,https://example-cdn.local/img/597842.jpg,https://example.local/product/585047
78,AutoFurnish Compact Car Accessories 430S,car & motorbike,car accessories,4.0,1141,₹432,₹678,https://example-cdn.local/img/297270.jpg,https://example.local/product/783757
79,Portronics Portable Smartphones 265,mobiles,smartphones,3.7,5756,₹634,₹855,https://example-cdn.local/img/655440.jpg,https://example.local/product/298717
80,Penguin Heavy-Duty Academic 640Pro,books,academic,3.8,668,₹862,₹901,https://example-cdn.local/img/537572.jpg,https://example.local/product/193433
81,Adidas Premium Sportswear 108Pro,sports & fitness,sportswear,3.6,1689,₹664,"₹1,079",https://example-cdn.local/img/855850.jpg,https://example.local/product/901236
82,Philips Heavy-Duty Makeup 189S,beauty & health,makeup,3.5,899,"₹3,213","₹3,882",https://example-cdn.local/img/286286.jpg,https://example.local/product/686389
83,Redwolf Heavy-Duty Watches 728X,fashion,watches,3.7,1144,₹708,₹787,https://example-cdn.local/img/466591.jpg,https://example.local/product/209771
84,Cello Classic Storage & Organization 618,office products,storage & organization,4.4,842,"₹2,513","₹3,835",https://example-cdn.local/img/825571.jpg,https://example.local/product/960846
85,Nirlon Portable Home Decor 699S,home & kitchen,home decor,4.7,4461,"₹2,462","₹2,979",https://example-cdn.local/img/821852.jpg,https://example.local/product/939500
86,Prestige Classic Kitchen Storage 440S,home & kitchen,kitchen storage,3.7,2083,₹954,"₹1,502",https://example-cdn.local/img/185175.jpg,https://example.local/product/876931
87,Adidas Eco-Friendly Yoga 861Pro,sports & fitness,yoga,4.3,2058,"₹4,617","₹5,474",https://example-cdn.local/img/654948.jpg,https://example.local/product/134687
88,24 Mantra Eco-Friendly Organic Foods 397,grocery & gourmet foods,organic foods,4.0,9453,₹24,₹54,https://example-cdn.local/img/890886.jpg,https://example.local/product/704845
89,iBell Heavy-Duty Power Tools 621Pro,home improvement,power tools,3.4,271,"₹1,236","₹2,059",https://example-cdn.local/img/320008.jpg,https://example.local/product/607952
90,Titan Smart Watch Accessories 373Max,watches,watch accessories,3.6,635,"₹2,489","₹2,518",https://example-cdn.local/img/886899.jpg,https://example.local/product/490250
91,Samsung Pro Power Banks 616X,mobiles,power banks,4.2,1911,"₹13,273","₹16,431",https://example-cdn.local/img/278873.jpg,https://example.local/product/464494
92,Michelin Advanced Bike Accessories 580Pro,car & motorbike,bike accessories,4.2,6533,₹101,₹147,https://example-cdn.local/img/994187.jpg,https://example.local/product/449836
93,Wildcraft Portable Backpacks 812S,luggage & bags,backpacks,3.7,932,"₹4,415","₹5,652",https://example-cdn.local/img/278142.jpg,https://example.local/product/967934
94,Portronics Eco-Friendly Power Banks 908Pro,mobiles,power banks,4.3,4971,"₹15,370","₹20,823",https://example-cdn.local/img/974622.jpg,https://example.local/product/876293
95,Redwolf Premium Women'S Clothing 383X,fashion,women's clothing,3.6,1228,₹591,₹885,https://example-cdn.local/img/884012.jpg,https://example.local/product/979472
96,Lenovo Wireless Monitors 281S,computers,monitors,4.4,6291,₹874,₹992,https://example-cdn.local/img/820524.jpg,https://example.local/product/524746
97,Cello Smart Cookware 245S,home & kitchen,cookware,4.8,3415,"₹14,581","₹18,929",https://example-cdn.local/img/743604.jpg,https://example.local/product/943001
98,Lenovo Heavy-Duty Storage Devices 479,computers,storage devices,3.3,549,"₹5,523","₹7,629",https://example-cdn.local/img/160143.jpg,https://example.local/product/650052
99,Sonata Ultra Analog Watches 509Max,watches,analog watches,3.9,2440,"₹2,523","₹3,140",https://example-cdn.local/img/491476.jpg,https://example.local/product/696275
100,HarperCollins Deluxe Academic 769Pro,books,academic,3.3,1544,₹222,₹302,https://example-cdn.local/img/218039.jpg,https://example.local/product/302152
101,Carrier Wireless Microwaves 252Max,appliances,microwaves,4.3,1298,"₹4,200","₹4,343",https://example-cdn.local/img/821987.jpg,https://example.local/product/232683
102,Whirlpool Classic Air Conditioners 832Pro,appliances,air conditioners,4.2,1769,"₹3,856","₹4,590",https://example-cdn.local/img/503416.jpg,https://example.local/product/263516
103,Dove Compact Skincare 873Pro,beauty & health,skincare,4.0,781,₹455,₹461,https://example-cdn.local/img/121301.jpg,https://example.local/product/880454
104,Sonata Everyday Smart Watches 544S,watches,smart watches,3.9,685,"₹22,532","₹25,894",https://example-cdn.local/img/466625.jpg,https://example.local/product/990560
105,Logitech Eco-Friendly Laptops 488Pro,computers,laptops,3.9,889,"₹29,880","₹43,960",https://example-cdn.local/img/301202.jpg,https://example.local/product/275666
106,Samsung Heavy-Duty Televisions 921Max,electronics,televisions,4.4,3146,"₹2,766","₹3,060",https://example-cdn.local/img/226049.jpg,https://example.local/product/964302
107,Sonata Lightweight Analog Watches 856Pro,watches,analog watches,4.2,1904,₹791,"₹1,127",https://example-cdn.local/img/907802.jpg,https://example.local/product/567022
108,AutoFurnish Wireless Car Care 874S,car & motorbike,car care,3.7,448,₹656,₹681,https://example-cdn.local/img/678026.jpg,https://example.local/product/164376
109,Nestle Wireless Snacks 290,grocery & gourmet foods,snacks,4.7,4399,₹481,₹952,https://example-cdn.local/img/206704.jpg,https://example.local/product/329255
110,OnePlus Portable Smartphones 924Max,mobiles,smartphones,4.4,2715,"₹2,636","₹3,330",https://example-cdn.local/img/865896.jpg,https://example.local/product/872434
111,Redwolf Heavy-Duty Watches 268S,fashion,watches,3.0,582,"₹1,668","₹2,106",https://example-cdn.local/img/658859.jpg,https://example.local/product/359069
112,Apple Wireless Cases & Covers 762Pro,mobiles,cases & covers,3.7,2701,"₹4,820","₹6,094",https://example-cdn.local/img/710173.jpg,https://example.local/product/508411
113,Tata Ultra Organic Foods 653,grocery & gourmet foods,organic foods,4.7,4737,₹922,"₹1,809",https://example-cdn.local/img/649054.jpg,https://example.local/product/981979
114,3M Heavy-Duty Measuring Tools 740Pro,industrial & scientific,measuring tools,3.8,228,"₹11,288","₹11,824",https://example-cdn.local/img/607170.jpg,https://example.local/product/836424
115,JBL Everyday Speakers 468Max,electronics,speakers,3.7,7899,"₹1,541","₹2,973",https://example-cdn.local/img/406354.jpg,https://example.local/product/962662
116,24 Mantra Lightweight Snacks 829X,grocery & gourmet foods,snacks,4.6,3725,₹660,₹913,https://example-cdn.local/img/414606.jpg,https://example.local/product/843410
117,Samsung Lightweight Mobile Accessories 760S,mobiles,mobile accessories,4.6,11612,₹636,"₹1,064",https://example-cdn.local/img/376779.jpg,https://example.local/product/674620
118,Decathlon Wireless Sportswear 321Max,sports & fitness,sportswear,4.1,1684,₹936,"₹1,417",https://example-cdn.local/img/857862.jpg,https://example.local/product/893321
119,Bosch Deluxe Power Tools 355Max,home improvement,power tools,3.7,2958,₹526,₹846,https://example-cdn.local/img/394698.jpg,https://example.local/product/724185
120,24 Mantra Wireless Staples 313,grocery & gourmet foods,staples,3.5,1691,₹55,₹66,https://example-cdn.local/img/846774.jpg,https://example.local/product/586450
121,Baybee Everyday Baby Care 562,toys & baby products,baby care,4.4,1713,"₹3,931","₹4,464",https://example-cdn.local/img/561808.jpg,https://example.local/product/505518
122,Redmi Eco-Friendly Mobile Accessories 238X,mobiles,mobile accessories,3.8,3372,₹406,₹529,https://example-cdn.local/img/946967.jpg,https://example.local/product/455759
123,Pigeon Deluxe Furniture 774,home & kitchen,furniture,4.0,3270,"₹4,292","₹7,298",https://example-cdn.local/img/749562.jpg,https://example.local/product/873972
124,Skybags Deluxe Backpacks 817,luggage & bags,backpacks,3.5,435,"₹1,755","₹1,911",https://example-cdn.local/img/342217.jpg,https://example.local/product/256958
125,Rupa Publications Ultra Children'S Books 150Pro,books,children's books,4.5,2578,₹187,₹338,https://example-cdn.local/img/978481.jpg,https://example.local/product/384724
126,Samsung Everyday Mobile Accessories 645Pro,mobiles,mobile accessories,4.6,6783,₹998,"₹1,555",https://example-cdn.local/img/500218.jpg,https://example.local/product/664082
127,boAt Deluxe Speakers 962,electronics,speakers,3.7,1422,₹810,"₹1,115",https://example-cdn.local/img/794462.jpg,https://example.local/product/423699
128,Lenovo Everyday Monitors 828Pro,computers,monitors,3.4,1814,"₹2,120","₹3,221",https://example-cdn.local/img/740534.jpg,https://example.local/product/725374
129,JBL Heavy-Duty Smart Watches 578X,electronics,smart watches,3.7,3212,"₹1,270","₹1,365",https://example-cdn.local/img/885745.jpg,https://example.local/product/786716
130,Sonata Essential Analog Watches 614S,watches,analog watches,2.3,105,"₹15,328","₹38,854",https://example-cdn.local/img/238221.jpg,https://example.local/product/265073
131,Mamaearth Ultra Makeup 633,beauty & health,makeup,4.4,5749,₹635,₹731,https://example-cdn.local/img/691007.jpg,https://example.local/product/440380
132,Parker Smart Storage & Organization 706,office products,storage & organization,3.8,565,"₹1,138","₹1,316",https://example-cdn.local/img/405762.jpg,https://example.local/product/226227
133,Levis Heavy-Duty Women'S Clothing 719S,fashion,women's clothing,3.8,1706,"₹4,115","₹4,998",https://example-cdn.local/img/219428.jpg,https://example.local/product/142635
134,Redwolf Compact Women'S Clothing 685Max,fashion,women's clothing,4.9,7735,₹710,"₹1,069",https://example-cdn.local/img/197800.jpg,https://example.local/product/391351
135,Spidy Moto Classic Bike Accessories 187Max,car & motorbike,bike accessories,3.6,999,₹500,₹625,https://example-cdn.local/img/792700.jpg,https://example.local/product/808799
136,Funskool Pro Baby Care 114X,toys & baby products,baby care,3.2,662,"₹4,801","₹5,549",https://example-cdn.local/img/507256.jpg,https://example.local/product/236173
137,Garnier Eco-Friendly Makeup 975Pro,beauty & health,makeup,4.3,4673,₹118,₹165,https://example-cdn.local/img/216009.jpg,https://example.local/product/351538
138,Parker Smart Storage & Organization 711S,office products,storage & organization,4.1,968,₹567,₹824,https://example-cdn.local/img/263189.jpg,https://example.local/product/460461
139,Tata Premium Beverages 607S,grocery & gourmet foods,beverages,4.1,3337,₹290,₹307,https://example-cdn.local/img/409585.jpg,https://example.local/product/217676
140,Spidy Moto Lightweight Car Care 579Max,car & motorbike,car care,4.2,1576,"₹1,427","₹1,907",https://example-cdn.local/img/260121.jpg,https://example.local/product/950298
141,LG Classic Air Conditioners 643X,appliances,air conditioners,2.8,564,"₹5,848","₹7,496",https://example-cdn.local/img/818962.jpg,https://example.local/product/578640
142,Fossil Classic Men'S Clothing 935S,fashion,men's clothing,4.4,6715,"₹2,843","₹3,671",https://example-cdn.local/img/184907.jpg,https://example.local/product/348909
143,Ptron Premium Televisions 692S,electronics,televisions,4.1,2064,"₹12,363","₹15,992",https://example-cdn.local/img/143448.jpg,https://example.local/product/891469
144,Bosch Wireless Microwaves 416Max,appliances,microwaves,4.0,2657,"₹8,044","₹12,464",https://example-cdn.local/img/609210.jpg,https://example.local/product/702526
145,Drools Advanced Pet Accessories 249,pet supplies,pet accessories,4.2,1142,"₹3,918","₹4,402",https://example-cdn.local/img/334206.jpg,https://example.local/product/152963
146,Funskool Advanced Toys 267Pro,toys & baby products,toys,3.4,1203,₹107,₹131,https://example-cdn.local/img/390938.jpg,https://example.local/product/523894
147,Samsung Heavy-Duty Smartphones 688,mobiles,smartphones,4.7,3515,"₹91,950","₹119,831",https://example-cdn.local/img/763685.jpg,https://example.local/product/474545
148,HP Ultra Monitors 184Max,computers,monitors,5.0,2937,"₹1,391","₹1,792",https://example-cdn.local/img/954865.jpg,https://example.local/product/865491
149,Fossil Advanced Women'S Clothing 376Max,fashion,women's clothing,4.1,4152,₹929,"₹1,542",https://example-cdn.local/img/997779.jpg,https://example.local/product/794673
150,Nirlon Deluxe Home Decor 987,home & kitchen,home decor,3.8,1621,"₹17,863","₹21,026",https://example-cdn.local/img/512538.jpg,https://example.local/product/733864
151,WOW Premium Makeup 189S,beauty & health,makeup,3.6,1211,"₹1,543","₹1,690",https://example-cdn.local/img/539530.jpg,https://example.local/product/478199
152,Dell Pro Storage Devices 973X,computers,storage devices,3.5,559,"₹23,031","₹25,899",https://example-cdn.local/img/737365.jpg,https://example.local/product/724702
153,24 Mantra Ultra Snacks 183Pro,grocery & gourmet foods,snacks,4.4,5968,₹41,₹58,https://example-cdn.local/img/669779.jpg,https://example.local/product/908307
154,Fastrack Essential Watch Accessories 926,watches,watch accessories,3.9,737,"₹1,764","₹2,057",https://example-cdn.local/img/129333.jpg,https://example.local/product/363689
155,Fastrack Pro Analog Watches 761S,watches,analog watches,4.0,2629,₹322,₹852,https://example-cdn.local/img/600035.jpg,https://example.local/product/610970
156,boAt Classic Smart Watches 179Pro,electronics,smart watches,5.0,8391,₹502,₹681,https://example-cdn.local/img/121380.jpg,https://example.local/product/523299
157,Prestige Everyday Furniture 188,home & kitchen,furniture,4.5,3971,"₹5,885","₹8,771",https://example-cdn.local/img/844721.jpg,https://example.local/product/476716
158,Roadster Advanced Women'S Clothing 641S,fashion,women's clothing,4.3,6069,₹739,"₹1,159",https://example-cdn.local/img/220407.jpg,https://example.local/product/493039
159,Noise Wireless Headphones 859Pro,electronics,headphones,4.5,5317,₹514,₹617,https://example-cdn.local/img/974027.jpg,https://example.local/product/331855
160,Apple Everyday Monitors 599Max,computers,monitors,3.3,1907,"₹7,585","₹10,735",https://example-cdn.local/img/367670.jpg,https://example.local/product/917761
161,Wonderchef Classic Kitchen Storage 188X,home & kitchen,kitchen storage,3.5,1296,"₹1,402","₹2,338",https://example-cdn.local/img/935868.jpg,https://example.local/product/753130
162,Zebronics Pro Headphones 960X,electronics,headphones,3.7,1779,"₹7,260","₹8,570",https://example-cdn.local/img/628769.jpg,https://example.local/product/442037
163,Portronics Deluxe Cases & Covers 410Max,mobiles,cases & covers,3.9,6140,₹645,"₹1,006",https://example-cdn.local/img/818671.jpg,https://example.local/product/662283
164,Strauss Pro Yoga 299X,sports & fitness,yoga,3.5,2804,₹153,₹310,https://example-cdn.local/img/760614.jpg,https://example.local/product/366298
165,Lakme Portable Haircare 925,beauty & health,haircare,4.1,1290,"₹2,874","₹2,934",https://example-cdn.local/img/303268.jpg,https://example.local/product/404474
166,3M Eco-Friendly Car Care 930,car & motorbike,car care,4.2,1513,"₹3,353","₹4,286",https://example-cdn.local/img/895298.jpg,https://example.local/product/772036
167,Dove Eco-Friendly Makeup 150S,beauty & health,makeup,3.8,2693,₹100,₹113,https://example-cdn.local/img/884906.jpg,https://example.local/product/207503
168,Redmi Lightweight Power Banks 430Max,mobiles,power banks,3.8,1453,"₹33,948","₹45,069",https://example-cdn.local/img/663542.jpg,https://example.local/product/144587
169,AutoFurnish Wireless Car Care 228Pro,car & motorbike,car care,5.0,1296,"₹2,106","₹2,152",https://example-cdn.local/img/100000.jpg,https://example.local/product/493289
170,Redwolf Advanced Watches 548X,fashion,watches,3.6,865,"₹1,088","₹1,486",https://example-cdn.local/img/679365.jpg,https://example.local/product/993217
171,Whirlpool Portable Air Conditioners 528X,appliances,air conditioners,4.2,2987,"₹11,261","₹14,142",https://example-cdn.local/img/433134.jpg,https://example.local/product/590683
172,Baybee Heavy-Duty Baby Care 400Pro,toys & baby products,baby care,4.0,1437,"₹3,033","₹3,363",https://example-cdn.local/img/249393.jpg,https://example.local/product/673533
173,Local Press Ultra Academic 852Max,books,academic,4.3,3152,₹111,₹144,https://example-cdn.local/img/191652.jpg,https://example.local/product/229741
174,Fisher-Price Pro Educational Games 544Pro,toys & baby products,educational games,4.2,2922,"₹1,433","₹1,523",https://example-cdn.local/img/277733.jpg,https://example.local/product/415899
175,Casio Advanced Watch Accessories 993X,watches,watch accessories,3.0,1710,₹629,₹939,https://example-cdn.local/img/729057.jpg,https://example.local/product/568877
176,Amazon Basics Advanced Cookware 361,home & kitchen,cookware,4.2,5722,₹307,₹435,https://example-cdn.local/img/893454.jpg,https://example.local/product/252902
